type,client,tx,amount
deposit,105,3863,856.5736
withdrawal,230,3864,43.6745
withdrawal,2,3865,316.3234
deposit,425,3866,479.1906
dispute,453,2554,
deposit,132,3867,762.7647
deposit,166,3868,896.1195
deposit,429,3869,379.0314
dispute,98,2591,
dispute,68,2472,
dispute,361,1639,
deposit,283,3870,520.3616
deposit,170,3871,369.4176
resolve,182,3695,
withdrawal,162,3872,566.6685
withdrawal,277,3873,337.9539
dispute,410,807,
deposit,106,3874,491.7755
withdrawal,105,3875,571.4393
deposit,212,3876,733.0713
deposit,490,3877,244.0899
deposit,235,3878,474.3967
chargeback,251,453,
withdrawal,485,3879,72.3478
deposit,465,3880,203.1613
deposit,106,3881,718.5998
deposit,286,3882,9.4811
resolve,203,1143,
deposit,186,3883,933.662
deposit,152,3884,495.4544
withdrawal,132,3885,202.4005
chargeback,444,3851,
withdrawal,291,3886,100.2187
withdrawal,486,3887,773.3612
resolve,252,632,
chargeback,151,809,
dispute,250,2816,
chargeback,35,1745,
deposit,440,3888,259.9895
deposit,412,3889,545.3274
resolve,31,1610,
resolve,149,2869,
deposit,177,3890,319.8308
deposit,41,3891,968.9313
deposit,76,3892,538.5518
resolve,388,1494,
withdrawal,385,3893,877.0487
deposit,459,3894,120.8966
resolve,428,302,
deposit,171,3895,348.6849
dispute,9,301,
withdrawal,201,3896,558.6176
withdrawal,169,3897,304.7304
withdrawal,352,3898,955.2242
deposit,243,3899,742.9218
deposit,60,3900,958.7291
deposit,101,3901,112.1124
deposit,366,3902,61.5376
dispute,244,3275,
deposit,299,3903,966.9055
deposit,432,3904,718.0085
deposit,404,3905,985.9904
resolve,425,3866,
deposit,378,3906,679.3388
withdrawal,73,3907,11.1393
withdrawal,181,3908,864.4571
withdrawal,404,3909,731.0812
resolve,274,2163,
deposit,468,3910,468.8647
resolve,377,1815,
deposit,294,3911,83.2796
deposit,473,3912,679.4738
deposit,401,3913,890.1987
deposit,203,3914,412.4989
deposit,305,3915,831.3264
deposit,333,3916,954.1573
deposit,126,3917,971.9723
deposit,408,3918,540.0157
deposit,236,3919,955.6314
chargeback,128,2806,
withdrawal,395,3920,906.119
deposit,448,3921,924.578
deposit,277,3922,820.5386
deposit,170,3923,913.6392
deposit,461,3924,688.1481
withdrawal,87,3925,903.9451
deposit,404,3926,536.3582
deposit,350,3927,127.6779
deposit,394,3928,605.8985
dispute,487,3298,
deposit,196,3929,230.0225
dispute,196,193,
deposit,235,3930,903.2517
resolve,412,2557,
chargeback,59,1208,
withdrawal,336,3931,82.8863
deposit,2,3932,779.5198
deposit,164,3933,500.5472
withdrawal,353,3934,160.8345
resolve,443,2395,
deposit,364,3935,4.6953
withdrawal,191,3936,146.2805
withdrawal,314,3937,643.921
deposit,421,3938,737.3387
withdrawal,363,3939,44.6546
withdrawal,218,3940,692.7213
resolve,336,1133,
chargeback,141,1703,
withdrawal,120,3941,33.274
resolve,50,977,
withdrawal,322,3942,285.0674
resolve,486,1926,
deposit,425,3943,653.9747
deposit,474,3944,345.5926
deposit,242,3945,506.4796
deposit,66,3946,86.5103
deposit,66,3947,978.478
deposit,119,3948,399.6869
resolve,345,3795,
deposit,264,3949,553.2395
deposit,151,3950,319.0041
dispute,79,2726,
deposit,238,3951,879.2872
chargeback,51,3147,
deposit,126,3952,923.6069
dispute,427,963,
deposit,458,3953,137.4889
withdrawal,18,3954,949.6605
deposit,337,3955,337.0798
deposit,188,3956,146.0693
dispute,391,1914,
withdrawal,319,3957,282.2432
withdrawal,478,3958,378.7509
deposit,292,3959,498.1055
deposit,499,3960,102.123
withdrawal,44,3961,508.7719
deposit,103,3962,68.6698
deposit,276,3963,467.0406
deposit,450,3964,778.6701
resolve,197,895,
resolve,175,2444,
deposit,301,3965,8.9257
deposit,78,3966,373.8341
deposit,230,3967,664.4215
withdrawal,176,3968,978.52
withdrawal,60,3969,499.5311
deposit,443,3970,444.8619
deposit,266,3971,354.1733
resolve,185,615,
withdrawal,200,3972,899.8445
deposit,447,3973,834.7762
chargeback,24,2206,
dispute,190,3850,
withdrawal,24,3974,146.271
chargeback,231,2770,
deposit,144,3975,544.2378
withdrawal,362,3976,526.623
deposit,352,3977,976.0798
withdrawal,107,3978,204.9389
withdrawal,20,3979,548.4042
deposit,290,3980,309.9467
deposit,475,3981,922.3592
deposit,191,3982,8.7018
deposit,355,3983,438.3103
deposit,426,3984,231.5612
withdrawal,12,3985,773.466
withdrawal,21,3986,682.0806
resolve,9,2944,
deposit,215,3987,895.424
withdrawal,380,3988,913.991
deposit,313,3989,627.8401
withdrawal,181,3990,574.243
deposit,500,3991,842.5526
deposit,217,3992,160.2089
deposit,257,3993,629.0074
withdrawal,169,3994,342.1582
deposit,374,3995,376.1073
chargeback,264,3271,
deposit,142,3996,122.9039
deposit,207,3997,649.046
withdrawal,17,3998,832.846
deposit,428,3999,207.9995
deposit,347,4000,554.8035
dispute,91,1534,
deposit,383,4001,375.7762
deposit,387,4002,772.074
deposit,479,4003,829.8818
deposit,160,4004,197.2482
withdrawal,420,4005,64.8881
deposit,484,4006,866.8491
dispute,435,845,
deposit,487,4007,62.5738
deposit,123,4008,90.5649
deposit,465,4009,639.3322
withdrawal,281,4010,332.6698
deposit,229,4011,526.4003
deposit,330,4012,209.1955
deposit,460,4013,549.3792
deposit,118,4014,785.5234
chargeback,251,2648,
resolve,428,302,
deposit,3,4015,4.3487
dispute,399,2687,
deposit,38,4016,39.2626
deposit,458,4017,218.2454
deposit,260,4018,76.2888
withdrawal,201,4019,829.3893
deposit,2,4020,872.367
deposit,363,4021,817.6634
dispute,88,553,
deposit,409,4022,733.2317
deposit,475,4023,998.2622
deposit,403,4024,460.2078
withdrawal,199,4025,587.0032
withdrawal,357,4026,841.0339
deposit,316,4027,984.5293
deposit,5,4028,974.8087
deposit,303,4029,402.0777
deposit,89,4030,936.96
deposit,149,4031,731.9639
deposit,91,4032,443.8811
withdrawal,291,4033,670.5035
dispute,201,3479,
withdrawal,336,4034,840.0901
dispute,218,2177,
deposit,441,4035,452.9335
deposit,399,4036,54.694
withdrawal,47,4037,241.301
deposit,111,4038,14.1523
deposit,252,4039,302.2085
chargeback,7,148,
deposit,85,4040,859.5601
dispute,71,2760,
withdrawal,104,4041,925.7414
withdrawal,25,4042,703.8142
deposit,280,4043,756.7456
deposit,163,4044,73.4961
withdrawal,108,4045,17.4891
chargeback,97,1968,
deposit,57,4046,809.1411
deposit,243,4047,928.8625
deposit,246,4048,629.5436
resolve,173,854,
resolve,340,2966,
withdrawal,274,4049,749.477
withdrawal,14,4050,354.3903
withdrawal,52,4051,372.6992
withdrawal,33,4052,578.6995
dispute,456,2677,
deposit,145,4053,156.3129
deposit,100,4054,510.7875
chargeback,39,1876,
withdrawal,497,4055,560.9491
deposit,141,4056,561.0002
withdrawal,369,4057,198.0354
withdrawal,180,4058,580.1442
deposit,70,4059,237.4091
resolve,151,2440,
withdrawal,40,4060,864.2538
withdrawal,370,4061,963.848
dispute,112,1839,
withdrawal,48,4062,144.6427
withdrawal,418,4063,956.2138
dispute,44,423,
deposit,31,4064,162.359
deposit,416,4065,494.5633
deposit,48,4066,872.134
deposit,236,4067,323.6494
withdrawal,427,4068,727.1771
deposit,54,4069,588.136
deposit,380,4070,948.729
deposit,457,4071,459.509
deposit,293,4072,241.7158
withdrawal,436,4073,451.9494
withdrawal,432,4074,427.8273
deposit,307,4075,191.2543
resolve,173,2773,
withdrawal,453,4076,390.9837
chargeback,312,2190,
withdrawal,226,4077,955.1922
resolve,207,774,
withdrawal,434,4078,138.3462
resolve,412,3242,
withdrawal,3,4079,277.5451
deposit,479,4080,739.1608
chargeback,93,2720,
deposit,132,4081,350.7359
deposit,232,4082,115.479
deposit,184,4083,518.2016
dispute,320,3144,
withdrawal,199,4084,141.5921
withdrawal,183,4085,25.1438
deposit,317,4086,60.5816
dispute,124,142,
deposit,150,4087,492.2033
withdrawal,78,4088,5.1881
resolve,266,3565,
deposit,51,4089,254.6186
withdrawal,18,4090,367.1824
deposit,371,4091,691.1895
withdrawal,285,4092,193.9018
deposit,375,4093,574.7135
deposit,304,4094,670.1518
resolve,96,639,
deposit,431,4095,365.7617
deposit,409,4096,732.9097
deposit,254,4097,764.5317
deposit,224,4098,843.0547
deposit,177,4099,838.8252
withdrawal,342,4100,147.7358
dispute,233,2133,
deposit,316,4101,890.1912
deposit,293,4102,564.4272
dispute,49,457,
deposit,460,4103,253.9529
deposit,330,4104,528.5524
deposit,247,4105,873.1939
chargeback,234,1739,
deposit,16,4106,58.5413
resolve,327,1850,
deposit,11,4107,18.6183
deposit,305,4108,929.7161
chargeback,186,2284,
deposit,63,4109,317.4613
deposit,100,4110,628.4029
resolve,212,2754,
deposit,421,4111,155.8722
withdrawal,362,4112,295.8353
withdrawal,363,4113,802.9115
deposit,400,4114,901.8103
deposit,209,4115,597.9265
chargeback,452,3681,
deposit,464,4116,921.953
deposit,417,4117,450.1908
withdrawal,470,4118,768.3554
deposit,321,4119,382.4784
deposit,462,4120,765.8551
withdrawal,475,4121,880.7243
withdrawal,403,4122,444.341
deposit,500,4123,582.7119
deposit,475,4124,745.4151
withdrawal,97,4125,140.5595
withdrawal,52,4126,502.6324
resolve,79,1291,
chargeback,358,428,
deposit,466,4127,229.5262
withdrawal,462,4128,315.1585
deposit,361,4129,593.5422
deposit,246,4130,577.7395
deposit,221,4131,430.4433
deposit,486,4132,169.0083
dispute,248,750,
withdrawal,289,4133,756.2574
withdrawal,107,4134,869.5601
withdrawal,301,4135,119.2268
withdrawal,448,4136,613.2743
deposit,359,4137,48.2057
chargeback,261,960,
withdrawal,125,4138,360.4659
dispute,51,289,
deposit,341,4139,770.5108
deposit,271,4140,413.54
resolve,442,1141,
deposit,362,4141,492.2719
withdrawal,46,4142,391.154
withdrawal,375,4143,948.253
deposit,473,4144,440.1897
deposit,320,4145,977.5713
deposit,473,4146,578.4049
resolve,272,3096,
dispute,142,2352,
deposit,135,4147,607.5799
dispute,188,346,
deposit,221,4148,343.708
dispute,215,1969,
deposit,361,4149,943.6044
deposit,369,4150,319.3931
withdrawal,132,4151,216.192
withdrawal,132,4152,921.5996
resolve,51,2679,
deposit,266,4153,468.5258
chargeback,41,3891,
deposit,321,4154,171.4321
deposit,459,4155,786.2378
deposit,225,4156,569.3771
deposit,406,4157,294.3233
withdrawal,85,4158,315.6965
resolve,304,4094,
withdrawal,61,4159,766.1778
deposit,404,4160,49.4804
withdrawal,61,4161,926.1837
deposit,448,4162,656.5007
deposit,271,4163,444.4871
deposit,10,4164,213.3739
deposit,67,4165,126.1461
withdrawal,417,4166,935.3852
withdrawal,57,4167,407.9418
deposit,183,4168,904.364
withdrawal,145,4169,947.9393
dispute,243,4047,
deposit,374,4170,696.0285
deposit,230,4171,253.5283
deposit,465,4172,707.0638
deposit,286,4173,35.1929
deposit,360,4174,716.0679
withdrawal,217,4175,401.5712
deposit,389,4176,70.2873
withdrawal,111,4177,448.0685
withdrawal,475,4178,524.5519
withdrawal,181,4179,856.2995
deposit,393,4180,319.7738
withdrawal,290,4181,229.9261
deposit,73,4182,687.6749
deposit,155,4183,867.0717
withdrawal,164,4184,866.3649
resolve,278,1000,
withdrawal,357,4185,794.2168
withdrawal,373,4186,145.5331
dispute,318,3003,
withdrawal,101,4187,559.0963
withdrawal,420,4188,352.0088
dispute,450,2437,
chargeback,412,3242,
deposit,274,4189,17.3313
deposit,141,4190,760.9858
dispute,113,3033,
resolve,346,2053,
deposit,325,4191,778.7913
deposit,183,4192,535.8565
deposit,378,4193,576.6915
deposit,12,4194,152.5396
deposit,484,4195,716.1426
deposit,189,4196,149.5674
deposit,296,4197,43.578
deposit,428,4198,179.2812
chargeback,93,664,
resolve,34,721,
withdrawal,233,4199,760.5594
deposit,241,4200,717.4344
deposit,237,4201,134.9463
dispute,218,1301,
withdrawal,373,4202,433.5068
withdrawal,172,4203,118.425
dispute,185,706,
withdrawal,323,4204,574.3771
deposit,334,4205,395.7109
deposit,142,4206,185.1507
deposit,277,4207,780.1388
withdrawal,372,4208,581.52
deposit,416,4209,720.9129
chargeback,416,1036,
withdrawal,141,4210,57.2565
deposit,397,4211,715.2683
withdrawal,50,4212,188.1666
chargeback,75,1880,
deposit,445,4213,658.0613
deposit,28,4214,489.1843
dispute,456,2887,
chargeback,327,3465,
deposit,231,4215,933.7976
withdrawal,392,4216,46.1157
deposit,235,4217,316.2476
withdrawal,312,4218,282.7471
withdrawal,339,4219,549.267
deposit,214,4220,700.1541
withdrawal,66,4221,291.0192
chargeback,126,1328,
resolve,318,133,
deposit,31,4222,815.6266
deposit,10,4223,933.6938
deposit,346,4224,72.3406
deposit,322,4225,764.9239
deposit,81,4226,285.0289
deposit,262,4227,328.6816
deposit,194,4228,259.2651
withdrawal,163,4229,547.3138
chargeback,1,3187,
deposit,437,4230,713.0595
deposit,225,4231,720.6416
deposit,372,4232,945.4044
withdrawal,114,4233,390.5406
resolve,245,476,
deposit,321,4234,44.4999
deposit,238,4235,805.2708
deposit,161,4236,877.3274
dispute,489,3453,
dispute,431,3376,
dispute,316,2088,
withdrawal,457,4237,679.5336
deposit,284,4238,481.5832
deposit,56,4239,182.669
resolve,420,3344,
deposit,14,4240,543.0165
withdrawal,453,4241,359.9136
withdrawal,304,4242,279.2981
dispute,322,1469,
resolve,372,591,
chargeback,461,982,
withdrawal,311,4243,547.3231
withdrawal,175,4244,506.6055
chargeback,362,1150,
deposit,485,4245,895.3248
deposit,217,4246,585.1546
deposit,113,4247,586.9864
withdrawal,199,4248,44.2546
withdrawal,416,4249,227.6216
deposit,493,4250,45.1949
deposit,145,4251,523.3512
withdrawal,250,4252,477.222
withdrawal,473,4253,214.6884
deposit,405,4254,16.7802
deposit,253,4255,390.8625
deposit,413,4256,610.7179
withdrawal,238,4257,370.9376
deposit,63,4258,738.1285
deposit,162,4259,287.1469
deposit,465,4260,542.7172
dispute,149,358,
withdrawal,245,4261,290.6822
deposit,76,4262,238.3944
deposit,412,4263,428.562
withdrawal,285,4264,173.4649
deposit,38,4265,848.2007
deposit,141,4266,798.0628
resolve,420,2214,
dispute,312,1905,
deposit,54,4267,115.721
deposit,437,4268,447.0951
deposit,130,4269,444.5439
deposit,142,4270,292.5048
deposit,183,4271,357.1073
deposit,25,4272,632.5107
withdrawal,333,4273,120.586
chargeback,118,4014,
dispute,353,1285,
deposit,302,4274,9.8812
deposit,333,4275,782.8733
dispute,241,1616,
dispute,498,2823,
dispute,219,3712,
deposit,400,4276,698.1044
deposit,200,4277,935.9473
deposit,258,4278,479.9001
withdrawal,421,4279,912.5896
deposit,156,4280,623.7897
resolve,425,3866,
withdrawal,49,4281,820.4326
deposit,414,4282,368.7762
dispute,133,3345,
deposit,369,4283,429.446
deposit,398,4284,173.0266
deposit,102,4285,632.8686
deposit,90,4286,787.7262
dispute,97,2492,
resolve,278,1239,
deposit,449,4287,900.8168
deposit,114,4288,888.6075
chargeback,132,3867,
resolve,493,4250,
dispute,175,3625,
withdrawal,225,4289,252.1721
deposit,331,4290,135.9371
withdrawal,29,4291,673.4718
deposit,177,4292,59.0486
deposit,476,4293,994.2877
withdrawal,300,4294,363.8842
withdrawal,129,4295,163.6086
withdrawal,318,4296,356.0143
withdrawal,297,4297,674.4829
resolve,323,3733,
withdrawal,56,4298,606.0481
dispute,298,473,
dispute,110,1856,
deposit,397,4299,193.4365
deposit,13,4300,818.0597
deposit,271,4301,895.4561
deposit,485,4302,490.1682
dispute,88,553,
withdrawal,340,4303,168.317
resolve,436,2315,
withdrawal,93,4304,313.8416
deposit,368,4305,455.7965
deposit,279,4306,300.3809
deposit,345,4307,453.3059
resolve,76,180,
withdrawal,197,4308,207.1071
deposit,127,4309,750.9073
deposit,318,4310,83.8035
deposit,31,4311,259.0884
deposit,461,4312,478.835
dispute,469,836,
resolve,144,924,
deposit,137,4313,141.3443
withdrawal,126,4314,169.6475
dispute,11,3038,
deposit,104,4315,324.4365
withdrawal,185,4316,926.6905
deposit,196,4317,574.9677
deposit,260,4318,280.5476
deposit,76,4319,551.9499
withdrawal,401,4320,118.6855
resolve,308,3336,
resolve,13,4300,
withdrawal,457,4321,636.3336
dispute,319,3051,
withdrawal,245,4322,735.8987
deposit,135,4323,653.9893
resolve,159,612,
deposit,156,4324,282.2117
deposit,266,4325,186.0897
deposit,322,4326,961.9193
resolve,91,2740,
chargeback,269,71,
resolve,457,3071,
dispute,467,532,
deposit,171,4327,712.6812
deposit,1,4328,776.7199
withdrawal,482,4329,993.7802
deposit,299,4330,603.8365
chargeback,345,540,
resolve,273,3794,
deposit,270,4331,718.192
deposit,215,4332,173.0478
deposit,260,4333,419.374
deposit,304,4334,207.0066
deposit,233,4335,80.7747
deposit,267,4336,44.185
chargeback,482,3659,
withdrawal,115,4337,424.5826
dispute,135,4323,
deposit,254,4338,417.5983
withdrawal,426,4339,328.8055
deposit,395,4340,128.2401
deposit,147,4341,69.424
dispute,144,241,
resolve,103,3962,
deposit,399,4342,769.168
deposit,488,4343,826.4659
deposit,112,4344,123.2708
withdrawal,456,4345,147.143
dispute,232,144,
deposit,457,4346,508.0396
deposit,479,4347,834.7973
resolve,13,4300,
withdrawal,199,4348,591.1795
deposit,193,4349,316.116
deposit,269,4350,124.7828
deposit,444,4351,660.847
deposit,121,4352,197.1452
deposit,258,4353,338.5204
deposit,358,4354,462.6435
deposit,170,4355,253.1503
dispute,21,2556,
deposit,301,4356,922.3345
resolve,292,3959,
chargeback,193,4349,
dispute,185,615,
resolve,101,3473,
deposit,153,4357,247.4331
withdrawal,458,4358,547.4839
withdrawal,82,4359,906.2597
dispute,213,1464,
deposit,24,4360,49.7485
dispute,64,1293,
deposit,4,4361,0.6855
deposit,204,4362,20.6021
deposit,401,4363,3.3528
dispute,385,2851,
dispute,108,1808,
deposit,266,4364,359.6669
deposit,492,4365,763.6171
resolve,241,1616,
withdrawal,500,4366,216.8742
deposit,227,4367,142.9868
deposit,286,4368,626.6698
resolve,156,248,
withdrawal,239,4369,699.0456
withdrawal,363,4370,1.9878
deposit,165,4371,384.0308
withdrawal,436,4372,875.2717
resolve,387,2748,
withdrawal,442,4373,101.0802
resolve,470,2620,
withdrawal,69,4374,928.1637
deposit,70,4375,63.4897
deposit,112,4376,329.6569
deposit,53,4377,380.232
dispute,76,4262,
withdrawal,287,4378,613.45
dispute,425,3866,
resolve,279,3227,
dispute,463,1409,
deposit,435,4379,7.9812
withdrawal,367,4380,390.9787
dispute,38,3184,
chargeback,418,1666,
withdrawal,252,4381,432.6804
withdrawal,41,4382,651.5784
deposit,201,4383,24.9859
chargeback,413,991,
withdrawal,436,4384,507.9425
deposit,111,4385,190.6567
deposit,431,4386,991.0983
deposit,452,4387,522.1775
deposit,161,4388,610.8346
withdrawal,380,4389,318.9855
withdrawal,266,4390,872.6079
dispute,401,2481,
dispute,286,2987,
deposit,293,4391,858.5008
resolve,299,2743,
deposit,331,4392,822.6483
chargeback,246,1539,
deposit,214,4393,642.7079
deposit,123,4394,86.2937
deposit,429,4395,418.6395
resolve,385,2009,
withdrawal,172,4396,838.8617
deposit,405,4397,92.5004
dispute,203,744,
deposit,482,4398,962.8315
dispute,301,4356,
dispute,275,1848,
deposit,2,4399,516.5025
deposit,20,4400,132.3847
resolve,492,4365,
deposit,319,4401,980.7253
chargeback,446,1988,
withdrawal,371,4402,982.2502
withdrawal,426,4403,877.5843
deposit,413,4404,496.6525
deposit,240,4405,94.7692
dispute,458,298,
deposit,338,4406,932.9731
resolve,169,587,
dispute,469,3190,
deposit,418,4407,625.7285
deposit,101,4408,847.9426
deposit,1,4409,622.0608
deposit,344,4410,548.6143
withdrawal,420,4411,931.6184
withdrawal,5,4412,284.4397
resolve,249,1561,
deposit,341,4413,70.5967
deposit,211,4414,48.4383
deposit,270,4415,274.4398
resolve,154,2886,
deposit,89,4416,767.4753
dispute,164,259,
deposit,305,4417,449.4879
deposit,256,4418,409.4335
deposit,342,4419,769.3154
withdrawal,359,4420,755.9087
deposit,256,4421,618.0082
withdrawal,192,4422,464.3369
dispute,130,3838,
withdrawal,226,4423,48.4847
dispute,499,3960,
deposit,35,4424,509.1008
deposit,79,4425,712.0243
deposit,49,4426,274.9671
deposit,401,4427,853.8036
chargeback,266,4364,
deposit,341,4428,127.4989
deposit,303,4429,698.994
resolve,391,2699,
deposit,447,4430,873.7175
withdrawal,329,4431,50.3335
deposit,450,4432,150.6571
withdrawal,54,4433,581.9922
withdrawal,218,4434,95.9029
resolve,112,784,
deposit,140,4435,573.921
deposit,130,4436,8.0483
deposit,41,4437,517.5023
dispute,180,488,
deposit,403,4438,687.2232
deposit,343,4439,924.5754
dispute,326,2763,
withdrawal,19,4440,202.5778
withdrawal,330,4441,422.4383
withdrawal,98,4442,92.6194
withdrawal,80,4443,768.4152
withdrawal,278,4444,776.3662
deposit,205,4445,734.1364
deposit,411,4446,506.2352
deposit,374,4447,261.4467
deposit,356,4448,255.8874
deposit,16,4449,868.1995
resolve,435,4379,
dispute,57,984,
resolve,17,1982,
withdrawal,87,4450,297.0972
withdrawal,438,4451,666.5058
dispute,126,304,
deposit,236,4452,986.299
withdrawal,119,4453,176.4271
dispute,258,246,
deposit,253,4454,808.1297
dispute,142,4206,
deposit,169,4455,265.9014
deposit,315,4456,695.5291
deposit,230,4457,774.1853
dispute,364,3379,
deposit,199,4458,670.8269
deposit,15,4459,267.4619
deposit,443,4460,65.4456
deposit,131,4461,583.8206
resolve,163,1300,
chargeback,328,611,
dispute,290,1514,
chargeback,101,4408,
withdrawal,282,4462,644.5523
deposit,15,4463,391.6043
deposit,12,4464,135.5145
deposit,340,4465,937.1677
deposit,448,4466,4.1315
deposit,247,4467,811.9262
dispute,39,3340,
deposit,157,4468,834.141
deposit,462,4469,43.7506
withdrawal,224,4470,494.5829
deposit,140,4471,394.1436
withdrawal,392,4472,559.9338
withdrawal,14,4473,509.8597
chargeback,462,370,
dispute,493,2883,
resolve,459,4155,
chargeback,106,878,
withdrawal,229,4474,300.4725
deposit,195,4475,567.9482
withdrawal,369,4476,984.5049
deposit,198,4477,795.232
deposit,406,4478,328.7378
deposit,1,4479,386.0306
withdrawal,493,4480,209.3508
deposit,190,4481,410.1008
withdrawal,280,4482,944.6252
deposit,420,4483,318.1538
withdrawal,367,4484,463.5441
deposit,450,4485,465.3068
withdrawal,173,4486,590.4403
deposit,409,4487,717.8592
deposit,304,4488,172.6338
chargeback,256,2236,
resolve,455,2925,
resolve,323,3733,
deposit,336,4489,82.8393
resolve,207,3997,
deposit,494,4490,818.6349
withdrawal,37,4491,814.8839
deposit,385,4492,783.4958
withdrawal,436,4493,51.4192
withdrawal,404,4494,424.5982
deposit,431,4495,663.6271
dispute,33,318,
withdrawal,168,4496,568.3026
deposit,19,4497,828.1732
withdrawal,24,4498,63.9792
deposit,451,4499,294.5212
deposit,413,4500,541.5385
deposit,454,4501,264.9183
withdrawal,224,4502,30.1056
withdrawal,313,4503,85.3847
deposit,5,4504,58.7977
deposit,296,4505,999.0166
dispute,274,165,
deposit,319,4506,719.5099
resolve,460,4013,
withdrawal,275,4507,351.9085
deposit,427,4508,915.0887
chargeback,209,2624,
withdrawal,286,4509,981.3036
resolve,246,4130,
withdrawal,489,4510,728.4984
deposit,373,4511,921.8531
withdrawal,442,4512,72.0632
deposit,446,4513,412.7646
withdrawal,151,4514,251.1181
deposit,235,4515,689.2982
deposit,64,4516,738.4675
resolve,331,2683,
withdrawal,262,4517,746.1151
resolve,129,3575,
chargeback,196,837,
withdrawal,452,4518,356.5159
resolve,391,3640,
deposit,208,4519,567.4978
chargeback,319,4506,
deposit,303,4520,344.3016
deposit,66,4521,790.4072
withdrawal,292,4522,419.3076
dispute,45,957,
deposit,136,4523,881.9394
chargeback,234,2274,
chargeback,460,3791,
deposit,90,4524,664.1473
deposit,42,4525,78.0563
dispute,104,197,
deposit,64,4526,85.372
withdrawal,37,4527,738.0897
deposit,486,4528,890.226
deposit,499,4529,936.2766
resolve,14,2722,
deposit,405,4530,852.5852
deposit,348,4531,785.3817
resolve,268,732,
deposit,315,4532,864.7468
dispute,149,358,
deposit,322,4533,852.0852
withdrawal,294,4534,812.1535
dispute,282,805,
withdrawal,387,4535,708.977
deposit,362,4536,714.3723
chargeback,424,1570,
resolve,222,1942,
withdrawal,100,4537,436.6084
deposit,315,4538,320.1227
deposit,129,4539,607.2654
withdrawal,7,4540,935.4763
deposit,306,4541,767.9107
withdrawal,218,4542,695.6614
deposit,40,4543,126.8858
deposit,363,4544,124.3002
dispute,349,3765,
deposit,373,4545,312.82
withdrawal,337,4546,873.172
withdrawal,183,4547,7.0896
withdrawal,445,4548,86.7256
chargeback,101,3901,
deposit,390,4549,475.7709
withdrawal,196,4550,156.841
resolve,201,815,
deposit,320,4551,102.4848
deposit,129,4552,474.1269
withdrawal,107,4553,91.4191
resolve,126,3952,
deposit,366,4554,264.0374
deposit,147,4555,358.8364
deposit,149,4556,7.8726
deposit,312,4557,52.9267
deposit,434,4558,287.388
deposit,132,4559,508.8005
withdrawal,216,4560,114.0543
deposit,98,4561,125.0572
withdrawal,56,4562,293.1405
deposit,210,4563,544.3081
dispute,314,2680,
withdrawal,367,4564,628.9103
withdrawal,300,4565,821.7766
deposit,42,4566,129.5359
deposit,439,4567,408.4602
deposit,361,4568,96.1417
dispute,490,1145,
deposit,156,4569,106.272
deposit,388,4570,912.4487
deposit,10,4571,746.3517
withdrawal,212,4572,656.1864
deposit,156,4573,87.3355
withdrawal,455,4574,590.2972
deposit,186,4575,392.4241
withdrawal,235,4576,571.8869
withdrawal,445,4577,211.4477
deposit,476,4578,768.94
deposit,445,4579,650.2173
withdrawal,46,4580,812.4512
deposit,474,4581,513.0257
withdrawal,64,4582,46.0599
deposit,499,4583,963.5978
dispute,375,4093,
deposit,400,4584,166.4923
deposit,226,4585,863.5177
deposit,187,4586,778.5728
chargeback,194,4228,
deposit,313,4587,10.6165
withdrawal,431,4588,261.0242
resolve,203,1698,
deposit,206,4589,745.7502
deposit,451,4590,583.6121
withdrawal,129,4591,972.5468
withdrawal,89,4592,737.2941
resolve,377,2766,
withdrawal,386,4593,42.032
deposit,489,4594,36.1305
dispute,287,1835,
deposit,457,4595,525.0172
deposit,236,4596,752.2385
withdrawal,471,4597,130.9946
resolve,468,3209,
dispute,401,785,
deposit,466,4598,436.9202
deposit,337,4599,399.7856
deposit,309,4600,145.5981
deposit,437,4601,929.411
withdrawal,151,4602,340.4103
resolve,312,2213,
deposit,34,4603,692.1881
deposit,20,4604,325.4814
withdrawal,484,4605,398.7749
deposit,427,4606,304.9195
deposit,447,4607,988.0468
resolve,480,2197,
deposit,201,4608,158.0577
deposit,28,4609,350.4702
withdrawal,453,4610,764.3034
withdrawal,225,4611,712.5051
deposit,267,4612,991.6728
withdrawal,285,4613,46.2313
deposit,4,4614,12.2512
chargeback,341,4413,
deposit,46,4615,635.573
dispute,301,1312,
dispute,429,4395,
deposit,103,4616,761.1605
deposit,175,4617,343.3662
deposit,215,4618,617.3886
deposit,351,4619,967.4693
deposit,22,4620,281.0835
resolve,288,3617,
deposit,427,4621,941.4846
resolve,438,2169,
resolve,246,4048,
dispute,314,461,
deposit,263,4622,541.9221
withdrawal,384,4623,423.7454
deposit,146,4624,460.9953
deposit,371,4625,278.5691
dispute,149,1594,
dispute,97,1889,
withdrawal,206,4626,508.5833
deposit,101,4627,505.2424
dispute,327,3166,
dispute,263,4622,
deposit,54,4628,499.245
withdrawal,430,4629,329.9711
dispute,339,1011,
withdrawal,134,4630,138.9161
deposit,259,4631,849.3023
deposit,165,4632,657.0163
dispute,272,966,
withdrawal,307,4633,355.645
withdrawal,110,4634,371.7841
withdrawal,89,4635,208.7312
deposit,227,4636,431.2713
withdrawal,232,4637,450.0996
resolve,411,1238,
